case,quantity,libreoffice_value,unit,worksheet_formula
P2-FRAME-X01,u2x,0.0013073606825227888,m,"=INDEX(MMULT(MINVERSE(Kff),Ff),1,1)"
P2-FRAME-X01,u2y,0.000005513704846615663,m,"=INDEX(MMULT(MINVERSE(Kff),Ff),2,1)"
P2-FRAME-X01,theta2,-0.0003090737883461679,rad,"=INDEX(MMULT(MINVERSE(Kff),Ff),3,1)"
P2-FRAME-X01,u3x,0.0013073606825227888,m,"=INDEX(MMULT(MINVERSE(Kff),Ff),4,1)"
P2-FRAME-X01,u3y,-0.000005513704846615663,m,"=INDEX(MMULT(MINVERSE(Kff),Ff),5,1)"
P2-FRAME-X01,theta3,-0.0003090737883461679,rad,"=INDEX(MMULT(MINVERSE(Kff),Ff),6,1)"
P2-FRAME-X01,R1x,-6000,N,"=INDEX(MMULT(K,D)-F,1,1)"
P2-FRAME-X01,R1y,-3675.803231082683,N,"=INDEX(MMULT(K,D)-F,2,1)"
P2-FRAME-X01,R1m,10648.393537834637,N*m,"=INDEX(MMULT(K,D)-F,3,1)"
P2-FRAME-X01,R4x,-6000,N,"=INDEX(MMULT(K,D)-F,10,1)"
P2-FRAME-X01,R4y,3675.803231082683,N,"=INDEX(MMULT(K,D)-F,11,1)"
P2-FRAME-X01,R4m,10648.393537834637,N*m,"=INDEX(MMULT(K,D)-F,12,1)"
P2-FRAME-X01,M12j,7351.60646216536,N*m,"=INDEX(MMULT(k12,MMULT(T12,d12)),6,1)"
P2-FRAME-X01,M43j,7351.60646216536,N*m,"=INDEX(MMULT(k43,MMULT(T43,d43)),6,1)"
P2-FRAME-X01,V23i,-3675.803231082683,N,"=INDEX(MMULT(k23,MMULT(T23,d23)),2,1)"
P2-FRAME-X01,M23i,-7351.60646216536,N*m,"=INDEX(MMULT(k23,MMULT(T23,d23)),3,1)"
P2-FRAME-X01,V23j,3675.803231082683,N,"=INDEX(MMULT(k23,MMULT(T23,d23)),5,1)"
P2-FRAME-X01,M23j,-7351.60646216536,N*m,"=INDEX(MMULT(k23,MMULT(T23,d23)),6,1)"
